time,avg_power_MW
00:00:00,870.6732458334869
00:15:00,847.6301754931233
00:30:00,828.7572899471846
00:45:00,819.9744281550836
01:00:00,812.3765304817732
01:15:00,791.4291077221687
01:30:00,781.6647409900407
01:45:00,768.7447788256432
02:00:00,758.0485245613845
02:15:00,715.3716140087731
02:30:00,689.5266805958497
02:45:00,678.0114546763505
03:00:00,662.8025666146827
03:15:00,645.3674569835656
03:30:00,622.7514873113645
03:45:00,599.4964013545247
04:00:00,578.1854428716009
04:15:00,556.5102454381336
04:30:00,533.2729025223557
04:45:00,521.7781879068885
05:00:00,502.2841526824522
05:15:00,483.18274918907605
05:30:00,471.2536902312476
05:45:00,469.06465143700166
06:00:00,462.56830256413474
06:15:00,457.7130796153104
06:30:00,455.0446146326506
06:45:00,453.5499337792305
07:00:00,446.49964871799386
07:15:00,426.7852494775192
07:30:00,380.559563112161
07:45:00,348.0137604624538
08:00:00,319.88465495071944
08:15:00,270.88771703598223
08:30:00,192.67979160493076
08:45:00,131.11299492514945
09:00:00,83.04423877107236
09:15:00,62.347176563709084
09:30:00,50.924826924482446
09:45:00,42.304796034278674
10:00:00,41.96516232636489
10:15:00,45.09452283021536
10:30:00,40.81787917352219
10:45:00,40.108995308617864
11:00:00,49.39699716177189
11:15:00,52.961052353445325
11:30:00,53.5383325287441
11:45:00,59.32035703198866
12:00:00,65.6071064812239
12:15:00,69.34226039097913
12:30:00,76.69348679285417
12:45:00,99.73813436783793
13:00:00,117.6738592936926
13:15:00,133.3819439093073
13:30:00,155.9543643660844
13:45:00,175.30995574358454
14:00:00,192.83703418789324
14:15:00,211.84238659173639
14:30:00,240.43991852130563
14:45:00,260.27278923837497
15:00:00,279.1887924253802
15:15:00,299.43144315181337
15:30:00,314.45152510495774
15:45:00,328.1116579505446
16:00:00,343.5064308528223
16:15:00,368.3946914495247
16:30:00,412.97925815434655
16:45:00,448.2011607510807
17:00:00,502.5253374281698
17:15:00,558.6835322109814
17:30:00,604.351283485557
17:45:00,647.1383032456546
18:00:00,686.6167827231184
18:15:00,734.7666010383008
18:30:00,774.1733095756979
18:45:00,814.3952234025504
19:00:00,825.7384284618313
19:15:00,848.5526324909431
19:30:00,864.8975508868898
19:45:00,873.5760352298091
20:00:00,875.671226253576
20:15:00,884.5207561804887
20:30:00,894.6125759518687
20:45:00,898.075163488488
21:00:00,899.4185563816985
21:15:00,900.0
21:30:00,899.1340791436011
21:45:00,898.615906823608
22:00:00,890.9900517321353
22:15:00,883.6586678981281
22:30:00,881.7713376543495
22:45:00,881.7713376543495
23:00:00,884.1928179631391
23:15:00,887.1128383279146
23:30:00,886.6823656586814
23:45:00,885.6169873537485
